trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 06:45:00,-6.049855,106.115712,41.5,0.34591
1,2025-03-03 06:45:30,-6.052248,106.117779,42.2,0.35142
1,2025-03-03 06:46:00,-6.054625,106.119398,38.4,0.31963
1,2025-03-03 06:46:30,-6.057357,106.121086,42.8,0.35659
1,2025-03-03 06:47:00,-6.059499,106.122275,32.7,0.27215
1,2025-03-03 06:47:30,-6.061792,106.123491,34.6,0.28826
1,2025-03-03 06:48:00,-6.064298,106.124821,37.8,0.31508
1,2025-03-03 06:48:30,-6.06694,106.126223,39.9,0.33221
1,2025-03-03 06:49:00,-6.069248,106.127447,34.8,0.29006
1,2025-03-03 06:49:30,-6.072059,106.128938,42.4,0.35344
1,2025-03-03 06:50:00,-6.074841,106.130414,42.0,0.34972
1,2025-03-03 06:50:30,-6.077113,106.131619,34.3,0.28559
1,2025-03-03 06:51:00,-6.079474,106.132872,35.6,0.2969
1,2025-03-03 06:51:30,-6.08236,106.134403,43.5,0.36281
1,2025-03-03 06:52:00,-6.084213,106.13595,32.4,0.2697
1,2025-03-03 06:52:30,-6.085678,106.137915,33.0,0.27527
1,2025-03-03 06:53:00,-6.086776,106.140334,35.4,0.29478
1,2025-03-03 06:53:30,-6.087833,106.143415,43.2,0.36035
1,2025-03-03 06:54:00,-6.088709,106.145969,35.8,0.29874
1,2025-03-03 06:54:30,-6.089695,106.148844,40.3,0.33619
1,2025-03-03 06:55:00,-6.090586,106.151442,36.5,0.30391
1,2025-03-03 06:55:30,-6.091578,106.154332,40.6,0.338
1,2025-03-03 06:56:00,-6.092361,106.156616,32.1,0.26715
1,2025-03-03 06:56:30,-6.093315,106.159396,39.0,0.32508
1,2025-03-03 06:57:00,-6.094356,106.162192,39.7,0.33065
1,2025-03-03 06:57:30,-6.095807,106.16503,42.3,0.35282
1,2025-03-03 06:58:00,-6.097178,106.167466,37.2,0.31042
1,2025-03-03 06:58:30,-6.098796,106.169596,35.6,0.29633
1,2025-03-03 06:59:00,-6.10028,106.17155,32.6,0.27182
1,2025-03-03 06:59:30,-6.102487,106.1737,41.0,0.34199
1,2025-03-03 07:00:00,-6.104122,106.17526,30.1,0.25063
1,2025-03-03 07:00:30,-6.105393,106.176471,23.4,0.19465
1,2025-03-03 07:01:00,-6.106792,106.177805,25.7,0.21436
1,2025-03-03 07:01:30,-6.108294,106.179238,27.6,0.23018
1,2025-03-03 07:02:00,-6.109851,106.180722,28.6,0.2386
1,2025-03-03 07:02:30,-6.111069,106.181844,22.0,0.18374
1,2025-03-03 07:03:00,-6.112613,106.183086,26.4,0.21984
1,2025-03-03 07:03:30,-6.114293,106.184047,27.7,0.23114
1,2025-03-03 07:04:00,-6.116084,106.182849,29.5,0.24576
1,2025-03-03 07:04:30,-6.117545,106.181948,23.0,0.19175
1,2025-03-03 07:05:00,-6.119681,106.181542,29.2,0.24355
1,2025-03-03 07:05:30,-6.120431,106.182885,29.1,0.24253
1,2025-03-03 07:06:00,-6.120399,106.184623,23.1,0.19223
1,2025-03-03 07:06:30,-6.12036,106.186708,27.7,0.23051
1,2025-03-03 07:07:00,-6.120329,106.188402,22.5,0.18729
1,2025-03-03 07:07:30,-6.120327,106.18849,22.0,0.18352
2,2025-03-03 11:34:00,-6.002713,106.025269,47.0,0.39175
2,2025-03-03 11:34:30,-6.001817,106.022541,47.0,0.39133
2,2025-03-03 11:35:00,-5.998713,106.022592,41.4,0.34513
2,2025-03-03 11:35:30,-5.995963,106.023624,49.4,0.41203
2,2025-03-03 11:36:00,-5.9957,106.026909,44.4,0.36974
2,2025-03-03 11:36:30,-5.993477,106.029111,43.5,0.36259
2,2025-03-03 11:37:00,-5.995235,106.031927,47.4,0.39474
2,2025-03-03 11:37:30,-5.997384,106.033516,35.7,0.29708
2,2025-03-03 11:38:00,-6.000121,106.035236,43.1,0.3589
2,2025-03-03 11:38:30,-6.002542,106.037013,40.0,0.33355
2,2025-03-03 11:39:00,-6.005418,106.03924,48.4,0.40368
2,2025-03-03 11:39:30,-6.008716,106.040902,50.0,0.41681
2,2025-03-03 11:40:00,-6.011202,106.042977,44.8,0.37325
2,2025-03-03 11:40:30,-6.013099,106.045581,42.9,0.35735
2,2025-03-03 11:41:00,-6.015034,106.048478,46.3,0.38614
2,2025-03-03 11:41:30,-6.01643,106.050921,37.4,0.31171
2,2025-03-03 11:42:00,-6.017854,106.054225,47.8,0.39826
2,2025-03-03 11:42:30,-6.019316,106.057617,49.0,0.40874
2,2025-03-03 11:43:00,-6.0208,106.061061,49.8,0.41512
2,2025-03-03 11:43:30,-6.022245,106.064088,44.6,0.37136
2,2025-03-03 11:44:00,-6.023941,106.067451,50.0,0.41698
2,2025-03-03 11:44:30,-6.025854,106.070382,46.5,0.38785
2,2025-03-03 11:45:00,-6.027337,106.072623,35.7,0.29759
2,2025-03-03 11:45:30,-6.028866,106.074934,36.8,0.30696
2,2025-03-03 11:46:00,-6.030399,106.077251,36.9,0.30781
2,2025-03-03 11:46:30,-6.032224,106.079752,41.2,0.3431
2,2025-03-03 11:47:00,-6.033873,106.082421,41.8,0.34864
2,2025-03-03 11:47:30,-6.032588,106.084234,38.3,0.31896
2,2025-03-03 11:48:00,-6.029119,106.085326,49.5,0.41268
2,2025-03-03 11:48:30,-6.026274,106.085692,38.3,0.3189
2,2025-03-03 11:49:00,-6.023957,106.088115,49.2,0.41028
2,2025-03-03 11:49:30,-6.021972,106.091173,48.5,0.40452
2,2025-03-03 11:50:00,-6.023124,106.093469,35.9,0.299
2,2025-03-03 11:50:30,-6.025186,106.095202,35.9,0.29877
2,2025-03-03 11:51:00,-6.027342,106.096983,37.3,0.31047
2,2025-03-03 11:51:30,-6.029884,106.098575,40.0,0.33295
2,2025-03-03 11:52:00,-6.032515,106.100222,41.4,0.34469
2,2025-03-03 11:52:30,-6.035034,106.1018,39.6,0.32992
2,2025-03-03 11:53:00,-6.03743,106.103397,38.4,0.31993
2,2025-03-03 11:53:30,-6.040331,106.105594,48.5,0.40379
2,2025-03-03 11:54:00,-6.042767,106.107976,45.5,0.3794
2,2025-03-03 11:54:30,-6.044767,106.110194,39.7,0.33097
2,2025-03-03 11:55:00,-6.046651,106.112284,37.4,0.31195
2,2025-03-03 11:55:30,-6.049159,106.115026,49.5,0.41209
2,2025-03-03 11:56:00,-6.051499,106.117199,42.6,0.35461
2,2025-03-03 11:56:30,-6.053907,106.118954,39.7,0.33107
2,2025-03-03 11:57:00,-6.056193,106.120366,35.8,0.29831
2,2025-03-03 11:57:30,-6.058497,106.121744,35.8,0.29815
2,2025-03-03 11:58:00,-6.061261,106.12321,41.7,0.34743
2,2025-03-03 11:58:30,-6.063684,106.124495,36.6,0.3047
2,2025-03-03 11:59:00,-6.066744,106.126119,46.2,0.38466
2,2025-03-03 11:59:30,-6.069801,106.12774,46.1,0.38434
2,2025-03-03 12:00:00,-6.072634,106.129243,42.7,0.35618
2,2025-03-03 12:00:30,-6.075254,106.130633,39.5,0.3293
2,2025-03-03 12:01:00,-6.077735,106.131949,37.4,0.31198
2,2025-03-03 12:01:30,-6.080119,106.133214,36.0,0.29966
2,2025-03-03 12:02:00,-6.083226,106.135006,48.0,0.40001
2,2025-03-03 12:02:30,-6.085286,106.137162,39.9,0.33273
2,2025-03-03 12:03:00,-6.086523,106.139595,36.3,0.30225
2,2025-03-03 12:03:30,-6.087681,106.142972,47.4,0.39497
2,2025-03-03 12:04:00,-6.088547,106.145497,35.4,0.29535
2,2025-03-03 12:04:30,-6.089567,106.148471,41.7,0.34785
2,2025-03-03 12:05:00,-6.090504,106.151202,38.3,0.31947
2,2025-03-03 12:05:30,-6.091389,106.153783,36.2,0.30187
2,2025-03-03 12:06:00,-6.092433,106.156826,42.7,0.35593
2,2025-03-03 12:06:30,-6.093348,106.159492,37.4,0.31175
2,2025-03-03 12:07:00,-6.094683,106.162831,47.9,0.39885
2,2025-03-03 12:07:30,-6.096079,106.165562,40.7,0.33958
2,2025-03-03 12:08:00,-6.097558,106.167966,37.6,0.31373
2,2025-03-03 12:08:30,-6.099613,106.170672,45.2,0.37652
2,2025-03-03 12:09:00,-6.101903,106.173143,45.0,0.3746
2,2025-03-03 12:09:30,-6.104117,106.175254,40.7,0.33921
2,2025-03-03 12:10:00,-6.106727,106.177744,48.0,0.40002
2,2025-03-03 12:10:30,-6.109355,106.18025,48.3,0.40271
2,2025-03-03 12:11:00,-6.11184,106.182464,44.3,0.36949
2,2025-03-03 12:11:30,-6.114298,106.184045,41.0,0.34177
2,2025-03-03 12:12:00,-6.116801,106.182356,41.1,0.34244
2,2025-03-03 12:12:30,-6.11945,106.181562,37.5,0.31227
2,2025-03-03 12:13:00,-6.120411,106.183956,46.4,0.38675
2,2025-03-03 12:13:30,-6.120352,106.187162,42.5,0.35452
2,2025-03-03 12:14:00,-6.120327,106.18849,40.8,0.34034
3,2025-03-03 15:00:00,-6.00275,106.026216,34.4,0.28696
3,2025-03-03 15:00:30,-6.002673,106.024217,26.5,0.22122
3,2025-03-03 15:01:00,-6.001854,106.02254,32.5,0.27074
3,2025-03-03 15:01:30,-5.999763,106.022575,27.9,0.23262
3,2025-03-03 15:02:00,-5.997234,106.022617,33.8,0.28125
3,2025-03-03 15:02:30,-5.99595,106.024133,36.5,0.30384
3,2025-03-03 15:03:00,-5.995886,106.02651,31.6,0.26295
3,2025-03-03 15:03:30,-5.993985,106.028374,36.4,0.30326
3,2025-03-03 15:04:00,-5.993865,106.030578,34.9,0.29089
3,2025-03-03 15:04:30,-5.99537,106.032035,27.9,0.23275
3,2025-03-03 15:05:00,-5.997246,106.033429,31.2,0.25984
3,2025-03-03 15:05:30,-5.999368,106.034763,33.4,0.27817
3,2025-03-03 15:06:00,-6.001212,106.035983,29.5,0.24576
3,2025-03-03 15:06:30,-6.003192,106.037516,33.3,0.27781
3,2025-03-03 15:07:00,-6.005386,106.039215,37.0,0.30797
3,2025-03-03 15:07:30,-6.007072,106.040335,27.0,0.22524
3,2025-03-03 15:08:00,-6.009588,106.041184,36.2,0.3019
3,2025-03-03 15:08:30,-6.011181,106.042954,31.7,0.26396
3,2025-03-03 15:09:00,-6.012845,106.045216,37.4,0.31151
3,2025-03-03 15:09:30,-6.014415,106.047471,36.5,0.30444
3,2025-03-03 15:10:00,-6.015629,106.049496,31.4,0.26159
3,2025-03-03 15:10:30,-6.016613,106.051345,27.9,0.23221
3,2025-03-03 15:11:00,-6.017656,106.053766,35.0,0.2918
3,2025-03-03 15:11:30,-6.018613,106.055985,32.1,0.26748
3,2025-03-03 15:12:00,-6.019705,106.05852,36.7,0.30543
3,2025-03-03 15:12:30,-6.020593,106.06058,29.8,0.2483
3,2025-03-03 15:13:00,-6.021421,106.062453,27.2,0.22677
3,2025-03-03 15:13:30,-6.022633,106.064857,35.8,0.29798
3,2025-03-03 15:14:00,-6.023612,106.0668,28.9,0.24089
3,2025-03-03 15:14:30,-6.024877,106.068906,32.7,0.27251
3,2025-03-03 15:15:00,-6.026024,106.070639,27.6,0.23017
3,2025-03-03 15:15:30,-6.027558,106.072957,37.0,0.30796
3,2025-03-03 15:16:00,-6.028798,106.074831,29.9,0.24879
3,2025-03-03 15:16:30,-6.030265,106.077048,35.3,0.29457
3,2025-03-03 15:17:00,-6.031593,106.078905,30.4,0.25298
3,2025-03-03 15:17:30,-6.03323,106.081173,37.2,0.31025
3,2025-03-03 15:18:00,-6.03392,106.083438,36.3,0.30209
3,2025-03-03 15:18:30,-6.031522,106.084872,37.2,0.31026
3,2025-03-03 15:19:00,-6.029153,106.085322,32.5,0.2709
3,2025-03-03 15:19:30,-6.026705,106.085636,32.9,0.27447
3,2025-03-03 15:20:00,-6.02495,106.086232,26.7,0.22287
3,2025-03-03 15:20:30,-6.023919,106.088186,29.3,0.24457
3,2025-03-03 15:21:00,-6.022656,106.090195,31.6,0.2634
3,2025-03-03 15:21:30,-6.022275,106.092105,30.2,0.25196
3,2025-03-03 15:22:00,-6.023433,106.093729,26.9,0.22405
3,2025-03-03 15:22:30,-6.02519,106.095206,30.6,0.25465
3,2025-03-03 15:23:00,-6.026956,106.096691,30.7,0.25596
3,2025-03-03 15:23:30,-6.029278,106.098195,36.9,0.30738
3,2025-03-03 15:24:00,-6.031105,106.09934,28.7,0.2394
3,2025-03-03 15:24:30,-6.032819,106.100412,26.9,0.22441
3,2025-03-03 15:25:00,-6.035165,106.101882,36.9,0.30737
3,2025-03-03 15:25:30,-6.036934,106.103022,28.0,0.2337
3,2025-03-03 15:26:00,-6.03894,106.104541,33.5,0.27932
3,2025-03-03 15:26:30,-6.040968,106.106077,33.9,0.28232
3,2025-03-03 15:27:00,-6.042652,106.107848,32.6,0.27149
3,2025-03-03 15:27:30,-6.044283,106.109657,32.4,0.27001
3,2025-03-03 15:28:00,-6.046053,106.111621,35.2,0.29307
3,2025-03-03 15:28:30,-6.047605,106.113343,30.8,0.25698
3,2025-03-03 15:29:00,-6.049006,106.114876,27.6,0.23028
3,2025-03-03 15:29:30,-6.050906,106.11674,35.4,0.29522
3,2025-03-03 15:30:00,-6.05294,106.118314,34.2,0.28533
3,2025-03-03 15:30:30,-6.054753,106.119477,28.7,0.23935
3,2025-03-03 15:31:00,-6.057046,106.120893,35.9,0.29921
3,2025-03-03 15:31:30,-6.059029,106.122026,30.4,0.25368
3,2025-03-03 15:32:00,-6.061325,106.123244,34.6,0.28866
3,2025-03-03 15:32:30,-6.063158,106.124216,27.6,0.23041
3,2025-03-03 15:33:00,-6.065208,106.125304,30.9,0.25776
3,2025-03-03 15:33:30,-6.067619,106.126583,36.4,0.30312
3,2025-03-03 15:34:00,-6.069965,106.127827,35.4,0.29487
3,2025-03-03 15:34:30,-6.072413,106.129126,36.9,0.30782
3,2025-03-03 15:35:00,-6.074637,106.130306,33.5,0.27956
3,2025-03-03 15:35:30,-6.076761,106.131432,32.0,0.26705
3,2025-03-03 15:36:00,-6.078567,106.13239,27.2,0.22701
3,2025-03-03 15:36:30,-6.080836,106.133594,34.2,0.28527
3,2025-03-03 15:37:00,-6.082979,106.13477,32.6,0.27193
3,2025-03-03 15:37:30,-6.084802,106.136514,33.6,0.2798
3,2025-03-03 15:38:00,-6.085869,106.138282,27.7,0.23058
3,2025-03-03 15:38:30,-6.086767,106.140307,29.5,0.24584
3,2025-03-03 15:39:00,-6.087517,106.142493,30.7,0.25572
3,2025-03-03 15:39:30,-6.088306,106.144794,32.3,0.26912
3,2025-03-03 15:40:00,-6.089045,106.146948,30.2,0.25195
3,2025-03-03 15:40:30,-6.089788,106.149114,30.4,0.25326
3,2025-03-03 15:41:00,-6.090537,106.151298,30.7,0.25544
3,2025-03-03 15:41:30,-6.09137,106.153728,34.1,0.28422
3,2025-03-03 15:42:00,-6.092175,106.156073,32.9,0.27433
3,2025-03-03 15:42:30,-6.092849,106.158037,27.6,0.22972
3,2025-03-03 15:43:00,-6.093633,106.160324,32.1,0.26744
3,2025-03-03 15:43:30,-6.094514,106.162501,31.3,0.26052
3,2025-03-03 15:44:00,-6.095538,106.164505,29.9,0.24916
3,2025-03-03 15:44:30,-6.09673,106.166836,34.8,0.28977
3,2025-03-03 15:45:00,-6.098028,106.168585,29.0,0.2416
3,2025-03-03 15:45:30,-6.099348,106.170323,29.0,0.2418
3,2025-03-03 15:46:00,-6.101108,106.172385,36.2,0.30128
3,2025-03-03 15:46:30,-6.102944,106.174136,33.8,0.28139
3,2025-03-03 15:47:00,-6.10473,106.175839,32.8,0.27363
3,2025-03-03 15:47:30,-6.106535,106.17756,33.2,0.27655
3,2025-03-03 15:48:00,-6.108051,106.179006,27.9,0.23237
3,2025-03-03 15:48:30,-6.109896,106.180765,33.9,0.28271
3,2025-03-03 15:49:00,-6.111807,106.182438,33.8,0.28189
3,2025-03-03 15:49:30,-6.113996,106.184154,37.3,0.31081
3,2025-03-03 15:50:00,-6.116159,106.182769,35.2,0.29307
3,2025-03-03 15:50:30,-6.118268,106.181693,31.8,0.26473
3,2025-03-03 15:51:00,-6.120448,106.181971,36.0,0.29984
3,2025-03-03 15:51:30,-6.12041,106.18399,26.8,0.22324
3,2025-03-03 15:52:00,-6.120361,106.18664,35.2,0.29307
3,2025-03-03 15:52:30,-6.120327,106.18849,27.3,0.22716
